INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1781.004.UDP0100_i7---UDP0100_i5.CPS_4.realigned.bam,5046128,5178769.5,7154087,-0.06715,NAFO 3L
NS.1781.004.UDP0101_i7---UDP0101_i5.CPS_5.realigned.bam,5112636,5970352,8222063,-0.38092,NAFO 3L
NS.1781.004.UDP0102_i7---UDP0102_i5.CPS_6.realigned.bam,5141408,5937281.8,8177344,-0.35529,NAFO 3L
NS.1781.004.UDP0103_i7---UDP0103_i5.CPS_7.realigned.bam,5218191,5804389.9,7998885,-0.26712,NAFO 3L
NS.1781.004.UDP0104_i7---UDP0104_i5.CPS_8.realigned.bam,5117834,5991216.9,8250090,-0.38665,NAFO 3L
NS.1781.004.UDP0105_i7---UDP0105_i5.CPS_9.realigned.bam,5164237,5337610.5,7368365,-0.08537,NAFO 3L
NS.1781.004.UDP0106_i7---UDP0106_i5.CPS_10.realigned.bam,5240137,5751584.6,7927474,-0.23505,NAFO 3L
NS.1781.004.UDP0107_i7---UDP0107_i5.CPS_11.realigned.bam,5261573,5592064.3,7711699,-0.15592,NAFO 3L
NS.1781.004.UDP0108_i7---UDP0108_i5.CPS_12.realigned.bam,5219135,5426977.8,7488604,-0.10081,NAFO 3L
NS.1781.004.UDP0109_i7---UDP0109_i5.CPS_13.realigned.bam,5229805,5846282.7,8055339,-0.27907,NAFO 3L
NS.1781.004.UDP0110_i7---UDP0110_i5.CPS_14.realigned.bam,5146152,5782784.9,7969965,-0.29107,NAFO 3L
NS.1781.004.UDP0111_i7---UDP0111_i5.CPS_15.realigned.bam,5201332,5852730.4,8063562,-0.29464,NAFO 3L
NS.1781.004.UDP0112_i7---UDP0112_i5.CPS_16.realigned.bam,5167034,5868395.5,8085195,-0.31638,NAFO 3L
NS.1781.004.UDP0113_i7---UDP0113_i5.CPS_17.realigned.bam,5297142,5736439.4,7906751,-0.20241,NAFO 3L
NS.1781.004.UDP0114_i7---UDP0114_i5.CPS_18.realigned.bam,5256971,5528037.3,7625117,-0.12926,NAFO 3L
NS.1781.004.UDP0115_i7---UDP0115_i5.CPS_19.realigned.bam,5293744,5764733.4,7944876,-0.21604,NAFO 3L
NS.1781.004.UDP0116_i7---UDP0116_i5.CPS_20.realigned.bam,5311149,5734173.8,7903506,-0.195,NAFO 3L
NS.1781.004.UDP0117_i7---UDP0117_i5.CPS_21.realigned.bam,5192906,5935387.6,8174567,-0.33159,NAFO 3L
NS.1781.004.UDP0118_i7---UDP0118_i5.CPS_22.realigned.bam,4824775,4752950.4,6574844,0.03942,NAFO 3L
NS.1781.004.UDP0119_i7---UDP0119_i5.CPS_23.realigned.bam,5219348,5495043.6,7581362,-0.13214,NAFO 3L
NS.1781.004.UDP0120_i7---UDP0120_i5.CPS_24.realigned.bam,5183747,5929965.5,8167711,-0.33347,NAFO 3L
NS.1781.004.UDP0121_i7---UDP0121_i5.CPS_25.realigned.bam,3496850,3208353.2,4465398,0.2295,NAFO 3L
NS.1781.004.UDP0122_i7---UDP0122_i5.CPS_26.realigned.bam,879140,744487.9,1047126,0.44493,NAFO 3L
NS.1781.004.UDP0123_i7---UDP0123_i5.CPS_27.realigned.bam,5283312,5733500.9,7902859,-0.20752,NAFO 3L
NS.1781.004.UDP0124_i7---UDP0124_i5.CPS_28.realigned.bam,5198741,5413034.4,7470228,-0.10417,NAFO 3L
NS.1781.004.UDP0125_i7---UDP0125_i5.CPS_29.realigned.bam,5262195,5724957.7,7891720,-0.21357,NAFO 3L
NS.1781.004.UDP0126_i7---UDP0126_i5.CPS_30.realigned.bam,5228280,5826592.2,8028324,-0.27175,NAFO 3L
NS.1781.004.UDP0127_i7---UDP0127_i5.CPS_31.realigned.bam,5231279,5591596.1,7711543,-0.16997,NAFO 3L
NS.1781.004.UDP0128_i7---UDP0128_i5.CPS_32.realigned.bam,5164499,5964167.3,8213625,-0.35549,NAFO 3L
NS.1781.004.UDP0129_i7---UDP0129_i5.CPS_33.realigned.bam,5227575,5487060.6,7570557,-0.12454,NAFO 3L
NS.1781.004.UDP0130_i7---UDP0130_i5.CPS_34.realigned.bam,5116558,5287953.8,7301841,-0.08511,NAFO 3L
NS.1781.004.UDP0131_i7---UDP0131_i5.CPS_35.realigned.bam,5248163,5687062.4,7840421,-0.20382,NAFO 3L
NS.1781.004.UDP0132_i7---UDP0132_i5.3D_1.realigned.bam,5108557,5269309.3,7276612,-0.08008,CMA 3D
NS.1781.004.UDP0133_i7---UDP0133_i5.3D_2.realigned.bam,5209875,5768301.1,7950425,-0.25591,CMA 3D
