IID	Sample_ID	Poolseq_ID_2020	Population	Location	Sex	Latitude	Longitude	Date collected	gDNA plate ID	UD_i7.x	UD_i5.x	Depth.x	Location.x	PCadapt1	PCadapt2	PCadapt3	PCadapt4	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NS.1798.004.UDP0026_i7---UDP0026_i5.D040.realigned.bam	D040		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0026_i7	UDP0026_i5		Maritimes	0.0614512553654632	-0.00323139569803073	0.0100924363378681	0.00568292534531924	-0.0410410079882503	0.0124817020978237	-0.0233358099581449	-0.10204083015698	0.0157475131409797	-0.0233624476323643	-0.0456131796036009	-0.000827558906407285	0.029337764709233	0.0364511347437881
NS.1798.004.UDP0027_i7---UDP0027_i5.D041.realigned.bam	D041		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0027_i7	UDP0027_i5		Maritimes	0.0444655242955706	0.00916808854261299	0.014706459851614	0.0131097523257284	-0.00814125811949305	-0.0967713706617391	-0.0280207349143594	-0.0496754748518747	0.0341742450676304	-0.048116455173521	-0.0460073489853728	-0.0241766145720071	-0.0232853804250331	-0.0189247634194406
NS.1798.004.UDP0028_i7---UDP0028_i5.D042.realigned.bam	D042		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0028_i7	UDP0028_i5		Maritimes	0.0364210568186151	-0.00331729643698681	0.0229101756625098	0.00713195900119497	-0.0201687124376459	0.0104054797055665	-0.0288377040676869	-0.0063542117849252	-0.0230923271946785	-0.0106644717034787	-0.025962406429726	0.0515525945157205	0.0319195883071131	-0.0152933873156368
NS.1798.004.UDP0029_i7---UDP0029_i5.D043.realigned.bam	D043		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0029_i7	UDP0029_i5		Maritimes	0.0404527699136388	0.00830950966883405	0.0150811614272714	-0.0179727690669373	-0.0238065191439621	0.00684866700157586	-0.0133378264871545	-0.0170286574005203	0.0390859519929308	0.0108484172959158	0.0120971314950758	0.00104916884233493	0.00995058938646019	0.000608005191122806
NS.1798.004.UDP0030_i7---UDP0030_i5.D044.realigned.bam	D044		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0030_i7	UDP0030_i5		Maritimes	0.0317843195383524	0.00200475638646227	0.0128276977532139	-0.00231068294865565	-0.00145935489070008	0.0137657171017953	-0.0351237674839996	-0.0758181876159107	-0.0433568811064727	0.00666368381814508	-0.0256503006872043	-0.00299731027222045	-0.00976844772892557	0.0311455410758275
NS.1798.004.UDP0031_i7---UDP0031_i5.D045.realigned.bam	D045		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0031_i7	UDP0031_i5		Maritimes	0.0337697619039046	0.00527637553461569	0.0206704507498269	0.00604526221418281	-0.0047166584194317	0.016289475952231	-0.031277745048125	0.00754226284905891	0.0455693221135008	-0.00750425823454147	0.0104891534886228	-0.0325012716137804	-0.017565648486625	-0.0448362354054343
NS.1798.004.UDP0032_i7---UDP0032_i5.D046.realigned.bam	D046		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0032_i7	UDP0032_i5		Maritimes	0.0302430148870781	0.00267709116949206	0.0168354594521865	0.0139727605804404	-0.0160368490846467	-0.0378881858112266	-0.0312370113117527	-0.0714554836636184	0.0398231220975061	0.00278063044955336	0.0110485949378273	-0.0194420303977243	-0.0184107270619683	-0.00802331283834898
NS.1798.004.UDP0097_i7---UDP0097_i5.WCB_M_1.realigned.bam	WCB_M_1		Western Cape Breton_Male	Gulf	Male	46.799528	-61.371278	2021		UDP0097_i7	UDP0097_i5		Maritimes	0.0030149069925329	-0.0118525610950137	0.0112658454647182	0.0195214336880815	0.0158149416434432	0.0205832258601055	0.000303262357900638	0.0142406520244709	0.0408910606357488	-0.0211600969923117	0.0302770381733673	0.000649844238090251	0.00201990786143198	-0.0108604842691555
NS.1798.004.UDP0098_i7---UDP0098_i5.WCB_M_2.realigned.bam	WCB_M_2		Western Cape Breton_Male	Gulf	Male	46.799528	-61.371278	2021		UDP0098_i7	UDP0098_i5		Maritimes	-0.0377948042158631	-0.0151349145794882	-0.0939481127567369	-0.0221381537322494	0.0447867665317444	0.0260423295565513	-0.00918533314326214	-0.0507302274528201	0.00101311430568759	0.00332571202407351	-0.011136523623289	-0.0239206370232228	0.00384346326641976	0.0240083363806084
NS.1798.004.UDP0099_i7---UDP0099_i5.WCB_M_3.realigned.bam	WCB_M_3		Western Cape Breton_Male	Gulf	Male	46.799528	-61.371278	2021		UDP0099_i7	UDP0099_i5		Maritimes	0.014207948564967	-0.00527183779367995	0.0138273478399198	0.00353255558358659	0.0301951114273606	0.0254883271877481	0.00221893912779571	0.00339820453492769	-0.0283251392634242	0.0286308070443881	0.0163038327620422	0.00443007951140077	-0.0134987995789251	0.0229297639133079
NS.1798.004.UDP0100_i7---UDP0100_i5.WCB_M_4.realigned.bam	WCB_M_4		Western Cape Breton_Male	Gulf	Male	46.799528	-61.371278	2021		UDP0100_i7	UDP0100_i5		Maritimes	0.0156321172827834	0.000792869909877107	-0.0238255636574875	0.0030683931970405	0.0218397247951098	0.0222905392686612	-0.00670714546671568	0.0225686778967846	0.0112257426711219	-0.00776437156358878	0.00676706197085199	0.00308979932606923	-0.0146935551308393	0.0118469887096189
