Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
      29          118           000000            75
      30          402           000000            12
      31            3           000000           102
      32            5           000000           119
      33           42           000000            45
-----------------------------------------------------------
Total missing data for population   15:         2424

Population 16 [NS.1781.004.UDP0132_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4           000000           148
       2           30           000000            50
       3           93           000000            89
       4           19           000000            35
       5           57           000000            23
       6           12           000000            70
       7            4           000000            48
       8            5           000000           119
       9            8           000000            41
      10          130           000000            18
      11            2           000000           174
      12           17           000000            52
      13           67           000000            24
      14           12           000000            84
      15            8           000000            11
      16           84           000000            44
      17          140           000000            28
      18          144           000000             2
      19          176           000000            24
      20          644           000000             4
      21          112           000000             8
      22            4           000000           367
      23           24           000000            92
      24          171           000000            24
      25            8           000000            87
      26           71           000000             6
      27          153           000000            40
      28           17           000000            16
      29            8           000000            20
      30            1           000000           111
      31           13           000000            60
      32           17           000000            63
      33           21           000000           124
      34            2           000000            29
      35          622           000000             6
-----------------------------------------------------------
Total missing data for population   16:         2141

Population 17 [NS.1781.004.UDP0167_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           23           000000            30
       2           52           000000            38
       3            4           000000           101
       4           36           000000            43
       5          123           000000            34
       6            8           000000            86
       7           79           000000            14
       8           12           000000            48
       9            5           000000            19
      10           23           000000            38
      11            4           000000           364
      12            2           000000           260
      13            8           000000            56
      14            8           000000           143
      15           57           000000            19
      16           17           000000            26
      17           72           000000            32
      18            5           000000            36
      19           17           000000            92
      20            4           000000            94
      21            4           000000            82
      22           17           000000            86
      23           30           000000            76
      24           14           000000            37
      25           85           000000            35
      26          100           000000            17
      27            3           000000            68
      28            8           000000           103
      29          115           000000            19
      30            4           000000            62
      31          125           000000            39
      32           29           000000            35
      33            4           000000           122
      34           30           000000            70
-----------------------------------------------------------
Total missing data for population   17:         2424

Population 18 [NS.1789.002.UDP0107_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           20           000000            83
       2           33           000000            48
       3            8           000000           105
       4          334           000000            27
       5           68           000000            17
       6           30           000000           114
       7           12           000000            30
       8           36           000000            28
       9           93           000000            15
      10          173           000000            47
      11          112           000000            52
      12          172           000000            14
      13            8           000000            64
      14           48           000000            30
      15           10           000000            21
      16          622           000000             4
      17          220           000000            11
      18            8           000000            93
      19           17           000000            76
      20           57           000000            48
      21           50           000000            68
      22          215           000000             8
      23          140           000000            27
      24           52           000000            48
      25          200           000000            33
      26            4           000000            82
      27          248           000000            16
      28           11           000000            61
-----------------------------------------------------------
Total missing data for population   18:         1270

Population 19 [NS.1789.002.UDP0142_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          170           000000            26
       2           30           000000            21
       3           17           000000            42
       4           22           000000            15
       5          237           000000            13
       6           23           000000            46
       7            4           000000            21
       8          672           000000             4
       9          141           000000            35
      10          177           000000             6
      11          208           000000            21
      12           57           000000            60
      13           85           000000            21
      14           48           000000            14
      15          139           000000            54
      16          308           000000            29
      17           17           000000            25
      18           79           000000            34
      19           48           000000            19
      20           14           000000            66
      21            4           000000            45
      22           11           000000            15
      23           15           000000            93
      24            8           000000            82
      25           31           000000            23
      26            4           000000            45
      27           35           000000           181
      28            8           000000            41
      29           30           000000            24
      30           32           000000            63
      31           78           000000            37
      32          124           000000            38
      33           36           000000            36
      34           20           000000            51
      35           32           000000            69
-----------------------------------------------------------
Total missing data for population   19:         1415

Population 20 [NS.1789.002.UDP0177_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            8           000000            91
       2           12           000000           107
       3          112           000000            46
       4           35           000000            13
       5           66           000000            43
       6            9           000000            68
       7           36           000000            50
       8            4           000000           225
       9           48           000000            55
      10           21           000000            23
      11           79           000000            30
      12            8           000000            93
      13            3           000000           425
      14           64           000000            74
      15            4           000000           208
      16            8           000000           156
      17            2           000000           258
      18            8           000000           228
      19           31           000000           148
      20            3           000000           263
      21            9           000000           132
      22            3           000000           232
      23            2           000000           101
      24            7           000000           310
      25           52           000000            90
      26            7           000000           109
      27           21           000000           168
      28            4           000000           230
      29           11           000000           192
      30            8           000000            59
      31           10           000000           106
      32           11           000000            75
      33            8           000000            99
      34           51           000000            18
-----------------------------------------------------------
Total missing data for population   20:         4525

Population 21 [NS.1792.004.UDP0002_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           31           000000            67
       2           23           000000            52
       3            4           000000           146
       4            4           000000            74
       5           54           000000           186
       6           31           000000            48
       7           17           000000            52
       8           36           000000            55
       9            8           000000           212
      10            1           000000           398
      11           11           000000           286
      12           20           000000           324
      13            1           000000           315
      14           21           000000            79
      15           11           000000           110
      16           15           000000            96
      17           52           000000            90
      18           31           000000           124
      19           11           000000            59
      20            4           000000           175
      21           10           000000            68
      22            3           000000           167
      23           68           000000            50
      24            8           000000           113
      25           30           000000            68
      26            5           000000           118
      27            2           000000           112
      28            5           000000            92
      29            8           000000            21
      30            8           000000           125
      31           57           000000            49
      32           25           000000           131
      33            4           000000            73
      34            4           000000           140
      35           56           000000            93
      36            2           000000            94
      37           36           000000            46
      38           11           000000           174
      39           20           000000            78
      40            4           000000           197
      41           78           000000           106
      42            4           000000           247
      43            8           000000            91
      44            5           000000           118
      45            1           000000           145
      46            9           000000           263
      47           31           000000            66
      48            4           000000           219
      49            5           000000           166
      50            4           000000           108
      51            8           000000           133
      52           41           000000            92
      53            8           000000           192
      54            9           000000            91
      55            8           000000           177
      56            8           000000            54
      57           52           000000            59
      58            7           000000            75
      59            7           000000            98
      60            7           000000            99
      61            2           000000           268
      62            5           000000            86
      63           14           000000           138
      64           30           000000            18
      65            3           000000           286
      66            7           000000            87
      67            8           000000           215
-----------------------------------------------------------
Total missing data for population   21:         8654

Population 22 [NS.1792.004.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            8           000000            46
       2          127           000000            56
       3            4           000000            67
       4            8           000000            56
       5           64           000000            31
       6           27           000000            39
       7          957           000000             4
       8            9           000000            71
       9          100           000000            34
      10          281           000000            20
      11           56           000000            33
      12           23           000000            20
